"FID"	"IID"	"region"
"PR01"	"HG00551"	"PUR"
"PR01"	"HG00552"	"PUR"
"PR02"	"HG00553"	"PUR"
"PR02"	"HG00554"	"PUR"
"PR02"	"HG00555"	"PUR"
"PR03"	"HG00637"	"PUR"
"PR03"	"HG00638"	"PUR"
"PR03"	"HG00639"	"PUR"
"PR04"	"HG00640"	"PUR"
"PR04"	"HG00641"	"PUR"
"PR04"	"HG00642"	"PUR"
"PR05"	"HG00731"	"PUR"
"PR05"	"HG00732"	"PUR"
"PR05"	"HG00733"	"PUR"
"PR06"	"HG00734"	"PUR"
"PR06"	"HG00735"	"PUR"
"PR07"	"HG00736"	"PUR"
"PR07"	"HG00737"	"PUR"
"PR07"	"HG00738"	"PUR"
"PR09"	"HG00739"	"PUR"
"PR09"	"HG00740"	"PUR"
"PR09"	"HG00741"	"PUR"
"PR10"	"HG00742"	"PUR"
"PR10"	"HG00743"	"PUR"
"PR06"	"HG01047"	"PUR"
"PR08"	"HG01048"	"PUR"
"PR08"	"HG01049"	"PUR"
"PR08"	"HG01050"	"PUR"
"PR11"	"HG01051"	"PUR"
"PR11"	"HG01052"	"PUR"
"PR11"	"HG01053"	"PUR"
"PR12"	"HG01054"	"PUR"
"PR12"	"HG01055"	"PUR"
"PR12"	"HG01056"	"PUR"
"PR13"	"HG01058"	"PUR"
"PR14"	"HG01060"	"PUR"
"PR14"	"HG01061"	"PUR"
"PR14"	"HG01062"	"PUR"
"PR15"	"HG01063"	"PUR"
"PR15"	"HG01064"	"PUR"
"PR16"	"HG01066"	"PUR"
"PR16"	"HG01067"	"PUR"
"PR16"	"HG01068"	"PUR"
"PR17"	"HG01069"	"PUR"
"PR17"	"HG01070"	"PUR"
"PR17"	"HG01071"	"PUR"
"PR18"	"HG01072"	"PUR"
"PR18"	"HG01073"	"PUR"
"PR18"	"HG01074"	"PUR"
"PR01"	"HG01075"	"PUR"
"PR20"	"HG01077"	"PUR"
"PR21"	"HG01079"	"PUR"
"PR21"	"HG01080"	"PUR"
"PR21"	"HG01081"	"PUR"
"PR28"	"HG01082"	"PUR"
"PR28"	"HG01083"	"PUR"
"PR28"	"HG01084"	"PUR"
"PR26"	"HG01085"	"PUR"
"PR26"	"HG01086"	"PUR"
"PR26"	"HG01087"	"PUR"
"PR27"	"HG01088"	"PUR"
"PR27"	"HG01089"	"PUR"
"PR27"	"HG01090"	"PUR"
"PR30"	"HG01092"	"PUR"
"PR29"	"HG01094"	"PUR"
"PR29"	"HG01095"	"PUR"
"PR29"	"HG01096"	"PUR"
"PR31"	"HG01097"	"PUR"
